bookingID,employeeID,customerID,productID,destinationID,classID,feeID,bookingDate,tripStart,tripEnd,numberOfTravellers,description,basePrice,taxRate,status,createdAt,updatedAt
14,3,74,3,3,2,,2023-11-28,2024-01-07,2024-01-21,2,,7084.7,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
15,8,71,19,3,3,,2022-02-26,2022-04-27,2022-05-03,5,,1647.62,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
16,4,21,11,12,,5,2022-10-18,2022-10-30,2022-11-10,2,,5262.93,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
17,9,36,5,11,,,2023-05-30,2023-07-17,2023-07-25,5,,7562.05,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
18,8,22,20,12,6,5,2022-02-12,2022-04-12,2022-04-15,1,,840.96,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
19,9,99,19,5,7,1,2023-05-25,2023-07-11,2023-07-31,3,,5314.3,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
20,9,62,8,11,8,,2022-03-03,2022-03-20,2022-04-06,4,,4131.88,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
21,5,44,20,3,,6,2022-12-20,2023-01-21,2023-01-28,3,,4362.35,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
22,8,41,8,8,,,2022-05-25,2022-06-07,2022-06-11,3,,7590.39,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
23,4,79,14,4,3,5,2022-11-17,2022-12-06,2022-12-14,4,,7969.77,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
24,5,64,10,8,,5,2023-04-14,2023-05-06,2023-05-15,5,,3146.71,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
25,8,37,16,10,8,,2022-01-09,2022-01-22,2022-02-07,2,,7118.42,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
26,3,47,13,6,,,2023-07-30,2023-08-18,2023-09-01,5,,2664.51,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
27,5,65,15,9,,6,2023-09-18,2023-10-02,2023-10-09,1,,3454.28,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
28,5,44,18,6,4,4,2023-05-28,2023-06-06,2023-06-10,1,,1527.77,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
29,4,61,17,8,,2,2022-12-02,2023-01-17,2023-01-30,2,,3447.16,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
30,9,95,10,10,,5,2023-05-17,2023-07-08,2023-07-29,3,,4061.69,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
31,3,48,11,11,,,2022-11-12,2023-01-08,2023-01-11,5,,4059.43,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
32,5,100,19,10,,,2023-05-07,2023-05-24,2023-06-12,6,,5908.87,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
33,9,49,5,11,,,2023-12-19,2024-01-02,2024-01-11,1,,3807.79,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
34,9,20,14,12,,,2023-09-19,2023-10-26,2023-10-30,6,,1535.62,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
35,3,72,11,11,7,,2022-06-27,2022-08-02,2022-08-22,3,,4597.05,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
36,9,99,9,10,4,,2022-11-02,2022-11-23,2022-12-05,3,,5786.76,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
37,9,91,16,6,5,,2023-08-11,2023-09-30,2023-10-20,4,,7218.2,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
38,3,45,5,5,,1,2022-12-21,2023-01-25,2023-02-05,6,,4093.09,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
39,5,69,9,9,3,,2023-08-24,2023-09-15,2023-09-25,1,,5523.75,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
40,8,29,8,1,,,2023-04-29,2023-05-12,2023-05-19,1,,7733.89,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
41,9,53,16,8,5,,2023-10-24,2023-11-03,2023-11-08,6,,4806.0,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
42,9,95,2,3,3,1,2023-02-11,2023-04-09,2023-04-27,2,,7524.57,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
43,5,38,2,1,,3,2022-10-19,2022-11-24,2022-12-14,5,,4204.34,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
44,5,65,15,5,,,2022-06-16,2022-08-08,2022-08-25,6,,2429.49,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
45,9,2,11,5,4,,2023-10-17,2023-11-18,2023-12-04,5,,2959.45,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
46,3,86,4,3,8,,2022-09-12,2022-09-19,2022-09-30,4,,2266.41,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
47,5,35,11,5,1,,2023-01-04,2023-02-24,2023-03-06,1,,5508.4,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
48,3,40,6,7,5,6,2022-10-30,2022-11-29,2022-12-09,2,,7680.2,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
49,9,20,15,12,6,,2023-07-17,2023-08-23,2023-09-12,6,,6692.03,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
50,9,32,20,2,6,,2023-08-01,2023-08-15,2023-08-19,5,,7271.66,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
51,3,74,18,3,,4,2022-04-30,2022-06-19,2022-06-28,6,,4873.61,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
52,3,66,15,1,7,,2022-03-01,2022-04-12,2022-04-29,6,,6551.87,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
53,5,3,13,5,4,,2022-02-16,2022-03-22,2022-04-05,6,,978.2,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
54,3,9,16,1,,,2022-05-19,2022-07-14,2022-07-30,3,,7946.42,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
55,5,58,13,7,,5,2022-05-17,2022-07-04,2022-07-18,1,,1838.55,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
56,5,51,17,3,4,1,2022-11-02,2022-12-08,2022-12-28,4,,4489.5,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
57,5,30,8,8,,,2022-04-26,2022-05-05,2022-05-21,5,,6245.4,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
58,5,31,7,2,,,2023-09-05,2023-10-25,2023-10-29,2,,6054.06,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
59,9,57,8,9,,1,2022-05-24,2022-07-02,2022-07-14,2,,6618.4,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
60,3,74,11,10,6,,2022-05-27,2022-07-15,2022-08-03,2,,3601.7,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
61,4,8,18,10,3,4,2023-07-24,2023-08-31,2023-09-04,3,,7561.9,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
62,9,49,17,6,7,,2023-01-21,2023-02-08,2023-02-28,4,,2307.26,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
63,5,39,5,8,7,5,2023-06-27,2023-07-12,2023-07-27,2,,2412.47,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
64,8,83,3,8,2,,2022-07-15,2022-07-25,2022-08-05,4,,5552.54,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
65,9,6,3,4,4,,2022-12-07,2023-01-02,2023-01-05,2,,7528.7,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
66,8,16,16,4,4,,2022-09-03,2022-10-15,2022-10-28,3,,3354.96,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
67,8,84,12,5,,,2023-05-25,2023-06-30,2023-07-06,6,,4021.18,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
68,8,41,7,6,,,2022-08-15,2022-10-08,2022-10-15,1,,2455.81,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
69,4,75,14,5,,,2023-01-24,2023-03-08,2023-03-18,4,,4629.82,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
70,5,44,9,8,8,,2022-12-27,2023-01-13,2023-01-20,6,,4599.1,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
71,8,70,2,9,,6,2022-02-19,2022-04-15,2022-04-18,4,,1531.19,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
72,5,30,3,12,,,2023-04-12,2023-05-12,2023-05-16,5,,5282.96,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
73,9,62,16,1,,,2022-01-13,2022-01-21,2022-02-09,6,,2560.56,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
74,5,3,17,12,3,,2022-04-09,2022-05-19,2022-05-26,2,,1939.49,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
75,8,33,12,5,2,,2023-02-20,2023-03-28,2023-04-18,2,,7926.75,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
76,5,39,3,11,1,,2023-01-24,2023-02-24,2023-03-16,4,,920.86,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
77,8,90,6,2,7,3,2023-08-03,2023-08-16,2023-09-04,1,,2223.25,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
78,3,89,19,8,,6,2022-10-15,2022-11-25,2022-12-16,6,,746.76,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
79,8,41,1,4,7,3,2022-06-16,2022-07-29,2022-08-08,5,,6759.88,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
80,9,87,18,6,,6,2022-03-22,2022-04-30,2022-05-14,1,,1232.64,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
81,9,10,11,10,7,3,2022-01-31,2022-03-19,2022-03-30,4,,4179.53,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
82,8,71,13,7,,,2023-01-25,2023-02-06,2023-02-18,2,,5848.31,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
83,5,35,5,7,3,3,2023-01-05,2023-01-18,2023-01-23,1,,7572.2,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
84,3,47,9,2,,,2023-04-05,2023-05-17,2023-06-06,5,,3560.33,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
85,3,12,12,9,,,2022-11-29,2022-12-30,2023-01-02,3,,3603.58,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
86,5,11,18,4,3,2,2022-05-23,2022-06-16,2022-06-28,3,,4198.43,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
87,8,22,14,5,8,3,2022-09-15,2022-10-07,2022-10-25,5,,5125.02,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
88,8,14,5,5,,,2023-09-28,2023-10-29,2023-11-11,4,,3010.52,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
89,8,84,20,3,,6,2022-07-25,2022-08-31,2022-09-13,2,,7734.31,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
90,5,38,16,10,6,,2023-02-07,2023-03-09,2023-03-15,5,,1998.5,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
91,4,24,18,1,8,2,2023-03-25,2023-05-22,2023-06-03,6,,1018.69,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
92,9,53,16,3,4,,2022-06-07,2022-07-29,2022-08-14,4,,1054.74,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
93,9,62,19,7,7,,2023-01-04,2023-02-24,2023-03-16,5,,5286.35,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
94,8,14,8,11,3,1,2023-07-31,2023-09-17,2023-10-02,3,,7742.88,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
95,8,14,1,2,,,2023-06-16,2023-07-28,2023-08-18,6,,4814.27,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
96,3,48,13,8,3,,2022-01-26,2022-03-04,2022-03-10,3,,3619.82,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
97,3,15,5,6,,,2022-07-31,2022-09-09,2022-09-27,3,,4071.22,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
98,4,93,15,6,,,2023-12-29,2024-01-12,2024-01-15,3,,5359.77,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
99,8,22,8,9,,,2023-07-28,2023-08-31,2023-09-17,2,,6483.17,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
100,4,24,6,11,7,,2023-09-21,2023-10-10,2023-10-27,5,,3721.65,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
101,9,91,7,4,,1,2023-08-15,2023-08-28,2023-09-17,2,,3243.45,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
102,4,59,4,5,8,,2023-10-17,2023-11-13,2023-11-28,5,,3444.08,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
103,3,45,12,8,5,5,2022-03-28,2022-05-17,2022-05-24,3,,1383.96,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
104,3,15,6,6,7,,2022-05-22,2022-07-04,2022-07-19,4,,1893.15,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
105,5,69,6,9,,,2022-07-11,2022-08-07,2022-08-24,5,,902.08,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
106,9,2,16,3,,,2023-07-30,2023-09-07,2023-09-25,4,,5635.23,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
107,9,91,15,8,,,2022-08-14,2022-09-08,2022-09-12,3,,2186.33,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
108,8,22,15,10,8,,2022-04-26,2022-06-08,2022-06-14,3,,6313.35,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
109,3,47,18,1,8,,2023-03-12,2023-03-25,2023-04-04,3,,7061.07,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
110,5,58,9,6,2,,2022-05-01,2022-06-26,2022-07-06,2,,6580.27,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
111,3,89,12,12,7,,2022-05-23,2022-07-19,2022-07-28,2,,6540.8,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
112,3,45,18,5,3,,2023-12-22,2024-01-16,2024-01-28,5,,2505.07,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
113,3,66,4,3,7,3,2023-11-03,2023-11-18,2023-11-25,2,,1596.83,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
114,9,32,13,8,,6,2023-03-01,2023-04-01,2023-04-18,1,,5252.21,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
115,3,12,13,9,6,,2023-05-15,2023-06-11,2023-07-02,1,,7016.81,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
116,9,94,3,12,6,5,2023-02-12,2023-03-04,2023-03-20,2,,4210.36,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
117,8,37,11,9,8,6,2022-02-19,2022-02-28,2022-03-06,6,,6379.17,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
118,5,3,4,3,1,4,2022-07-27,2022-09-16,2022-09-23,6,,2763.99,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
119,9,36,3,11,,,2023-11-12,2023-12-30,2024-01-07,1,,3472.56,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
120,4,93,8,7,2,,2023-05-04,2023-05-15,2023-05-22,5,,2196.43,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
121,9,57,1,1,2,4,2023-12-12,2023-12-27,2024-01-14,1,,2217.1,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
122,9,94,4,2,,2,2023-01-27,2023-03-24,2023-03-31,6,,7947.05,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
123,3,9,17,10,,4,2022-12-26,2023-02-17,2023-02-26,6,,6112.02,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
124,4,79,15,4,,,2022-05-07,2022-06-20,2022-07-05,3,,7724.37,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
125,3,18,8,5,4,,2023-09-07,2023-10-30,2023-11-11,6,,701.18,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
126,5,85,10,4,4,3,2023-10-24,2023-11-03,2023-11-13,4,,3394.14,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
127,5,64,20,2,1,3,2022-05-16,2022-06-16,2022-07-07,4,,3240.59,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
128,4,23,16,2,,,2022-09-26,2022-10-16,2022-10-20,1,,7615.1,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
129,5,65,10,11,7,,2023-02-16,2023-02-28,2023-03-20,5,,5120.35,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
130,5,11,10,2,4,2,2023-07-04,2023-07-31,2023-08-15,5,,5257.21,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
131,8,84,3,5,4,,2022-03-30,2022-05-03,2022-05-09,4,,5092.23,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
132,3,40,6,2,,,2022-01-12,2022-01-29,2022-02-16,3,,4422.54,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
133,4,93,9,3,,3,2022-05-01,2022-06-26,2022-06-29,3,,6553.31,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
134,8,68,3,5,2,,2023-06-08,2023-07-08,2023-07-12,4,,6945.2,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
135,3,48,6,5,2,,2023-06-06,2023-06-13,2023-06-17,1,,2334.14,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
136,3,47,13,3,,1,2023-07-21,2023-09-17,2023-10-03,2,,2913.52,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
137,4,93,11,5,6,,2023-11-21,2023-12-01,2023-12-09,2,,6532.54,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
138,8,52,3,8,5,,2023-07-21,2023-08-26,2023-08-29,3,,2005.03,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
139,5,39,20,4,8,2,2023-07-14,2023-09-07,2023-09-17,2,,547.83,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
140,9,4,8,9,,1,2022-12-10,2022-12-17,2023-01-01,6,,5954.11,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
141,3,27,17,4,1,2,2023-12-30,2024-01-23,2024-01-28,1,,7409.56,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
142,3,67,14,12,8,1,2023-08-18,2023-08-31,2023-09-19,2,,5279.12,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
143,9,10,19,10,,2,2022-08-31,2022-09-25,2022-10-06,3,,7445.31,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
144,8,90,11,6,4,,2022-07-27,2022-08-11,2022-09-01,1,,1665.58,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
145,5,58,15,6,6,2,2023-04-08,2023-05-04,2023-05-21,3,,6893.62,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
146,4,21,10,12,1,,2022-12-02,2022-12-18,2022-12-23,6,,2361.64,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
147,5,51,17,1,5,2,2022-02-01,2022-03-05,2022-03-22,5,,6110.59,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
148,4,13,15,2,3,,2022-03-05,2022-05-04,2022-05-14,2,,1986.0,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
149,3,48,3,10,2,,2022-03-08,2022-03-27,2022-04-13,2,,1189.84,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
150,4,43,4,1,1,,2023-08-11,2023-09-14,2023-09-29,4,,721.12,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
151,5,55,6,6,,,2022-10-14,2022-11-18,2022-11-25,1,,5105.8,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
152,9,32,10,8,8,,2022-10-14,2022-11-14,2022-11-21,4,,1995.93,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
153,8,68,8,11,1,6,2023-01-03,2023-02-09,2023-03-01,4,,3080.26,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
154,5,65,11,7,,,2023-09-04,2023-09-25,2023-09-28,3,,939.43,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
155,8,68,12,10,3,,2023-11-04,2023-11-26,2023-12-07,5,,6622.14,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
156,4,8,8,10,7,,2022-06-27,2022-07-15,2022-07-25,5,,2885.03,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
157,8,90,12,10,,5,2023-08-01,2023-08-17,2023-09-07,2,,6775.23,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
158,5,64,18,5,,,2022-02-27,2022-03-20,2022-03-30,1,,4448.36,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
159,4,43,20,4,6,3,2022-03-02,2022-03-10,2022-03-17,5,,5785.22,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
160,5,100,4,9,2,,2023-11-10,2023-12-12,2024-01-02,1,,3024.21,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
161,3,18,6,12,8,2,2023-12-26,2024-02-06,2024-02-20,2,,5491.49,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
162,4,23,13,5,5,,2022-01-02,2022-02-22,2022-03-15,4,,6880.68,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
163,8,73,2,3,4,1,2023-05-24,2023-06-09,2023-06-22,6,,1083.55,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
164,8,41,6,11,2,6,2023-10-17,2023-12-09,2023-12-22,4,,585.47,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
165,9,32,3,6,,,2022-01-02,2022-01-12,2022-01-27,4,,5994.38,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
166,9,53,16,7,,,2023-05-06,2023-07-02,2023-07-23,6,,6186.83,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
167,4,21,15,2,1,,2022-11-23,2022-12-16,2022-12-22,1,,3063.56,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
168,4,21,3,9,2,,2023-09-21,2023-10-28,2023-10-31,4,,7568.32,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
169,5,78,14,3,,,2022-07-14,2022-08-16,2022-09-05,6,,7441.8,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
170,4,34,10,5,,,2023-08-09,2023-09-20,2023-10-08,2,,908.79,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
171,5,55,3,5,8,,2022-01-27,2022-02-16,2022-02-24,6,,2688.59,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
172,4,61,4,5,8,,2023-11-08,2023-12-01,2023-12-06,6,,4580.95,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
173,3,48,13,6,,,2023-03-27,2023-05-02,2023-05-13,2,,6778.09,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
174,4,8,5,12,2,5,2023-02-28,2023-04-24,2023-05-15,2,,4652.01,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
175,4,50,17,7,8,,2022-08-30,2022-10-06,2022-10-18,1,,3461.03,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
176,3,92,2,9,3,,2023-04-05,2023-04-23,2023-05-01,2,,6563.46,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
177,9,6,14,2,7,,2023-10-05,2023-10-21,2023-11-01,3,,7331.03,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
178,3,9,3,7,6,5,2023-04-15,2023-04-22,2023-05-13,5,,6362.64,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
179,4,54,5,3,2,5,2022-04-14,2022-06-10,2022-06-22,5,,7101.02,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
180,4,34,13,11,8,,2022-10-10,2022-11-11,2022-11-18,5,,5064.91,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
181,8,52,2,7,6,1,2023-05-02,2023-05-26,2023-06-09,1,,3034.0,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
