invoiceID,bookingID,invoiceDate,subtotal,taxAmount,feeAmount,totalAmount,status,dueDate,notes,createdAt,updatedAt
28,41,2023-10-25,4806.0,240.3,0,5046.3,partial,2023-11-24,,2024-01-15 09:00:00,2024-01-15 09:00:00
29,43,2022-10-20,4204.34,210.22,25.0,4439.56,paid,2022-11-19,,2024-01-15 09:00:00,2024-01-15 09:00:00
30,44,2022-06-17,2429.49,121.47,0,2550.96,partial,2022-07-17,,2024-01-15 09:00:00,2024-01-15 09:00:00
31,45,2023-10-18,2959.45,147.97,0,3107.42,unpaid,2023-11-17,,2024-01-15 09:00:00,2024-01-15 09:00:00
32,47,2023-01-05,5508.4,275.42,0,5783.82,partial,2023-02-04,,2024-01-15 09:00:00,2024-01-15 09:00:00
33,48,2022-10-31,7680.2,384.01,0.0,8064.21,paid,2022-11-30,,2024-01-15 09:00:00,2024-01-15 09:00:00
34,50,2023-08-02,7271.66,363.58,0,7635.24,unpaid,2023-09-01,,2024-01-15 09:00:00,2024-01-15 09:00:00
35,51,2022-05-01,4873.61,243.68,0.0,5117.29,paid,2022-05-31,,2024-01-15 09:00:00,2024-01-15 09:00:00
36,53,2022-02-17,978.2,48.91,0,1027.11,paid,2022-03-19,,2024-01-15 09:00:00,2024-01-15 09:00:00
37,54,2022-05-20,7946.42,397.32,0,8343.74,paid,2022-06-19,,2024-01-15 09:00:00,2024-01-15 09:00:00
38,55,2022-05-18,1838.55,91.93,0.0,1930.48,paid,2022-06-17,,2024-01-15 09:00:00,2024-01-15 09:00:00
39,57,2022-04-27,6245.4,312.27,0,6557.67,refunded,2022-05-27,,2024-01-15 09:00:00,2024-01-15 09:00:00
40,58,2023-09-06,6054.06,302.7,0,6356.76,refunded,2023-10-06,,2024-01-15 09:00:00,2024-01-15 09:00:00
41,60,2022-05-28,3601.7,180.09,0,3781.79,paid,2022-06-27,,2024-01-15 09:00:00,2024-01-15 09:00:00
42,62,2023-01-22,2307.26,115.36,0,2422.62,paid,2023-02-21,,2024-01-15 09:00:00,2024-01-15 09:00:00
43,63,2023-06-28,2412.47,120.62,25.0,2558.09,paid,2023-07-28,,2024-01-15 09:00:00,2024-01-15 09:00:00
44,64,2022-07-16,5552.54,277.63,0,5830.17,unpaid,2022-08-15,,2024-01-15 09:00:00,2024-01-15 09:00:00
45,66,2022-09-04,3354.96,167.75,0,3522.71,partial,2022-10-04,,2024-01-15 09:00:00,2024-01-15 09:00:00
46,68,2022-08-16,2455.81,122.79,0,2578.6,refunded,2022-09-15,,2024-01-15 09:00:00,2024-01-15 09:00:00
47,70,2022-12-28,4599.1,229.96,0,4829.06,refunded,2023-01-27,,2024-01-15 09:00:00,2024-01-15 09:00:00
48,72,2023-04-13,5282.96,264.15,0,5547.11,paid,2023-05-13,,2024-01-15 09:00:00,2024-01-15 09:00:00
49,73,2022-01-14,2560.56,128.03,0,2688.59,refunded,2022-02-13,,2024-01-15 09:00:00,2024-01-15 09:00:00
50,74,2022-04-10,1939.49,96.97,0,2036.46,paid,2022-05-10,,2024-01-15 09:00:00,2024-01-15 09:00:00
51,75,2023-02-21,7926.75,396.34,0,8323.09,paid,2023-03-23,,2024-01-15 09:00:00,2024-01-15 09:00:00
52,76,2023-01-25,920.86,46.04,0,966.9,paid,2023-02-24,,2024-01-15 09:00:00,2024-01-15 09:00:00
53,79,2022-06-17,6759.88,337.99,0.0,7097.87,paid,2022-07-17,,2024-01-15 09:00:00,2024-01-15 09:00:00
54,80,2022-03-23,1232.64,61.63,25.0,1319.27,unpaid,2022-04-22,,2024-01-15 09:00:00,2024-01-15 09:00:00
55,81,2022-02-01,4179.53,208.98,25.0,4413.51,paid,2022-03-03,,2024-01-15 09:00:00,2024-01-15 09:00:00
56,82,2023-01-26,5848.31,292.42,0,6140.73,refunded,2023-02-25,,2024-01-15 09:00:00,2024-01-15 09:00:00
57,83,2023-01-06,7572.2,378.61,25.0,7975.81,unpaid,2023-02-05,,2024-01-15 09:00:00,2024-01-15 09:00:00
58,84,2023-04-06,3560.33,178.02,0,3738.35,paid,2023-05-06,,2024-01-15 09:00:00,2024-01-15 09:00:00
59,86,2022-05-24,4198.43,209.92,0.0,4408.35,paid,2022-06-23,,2024-01-15 09:00:00,2024-01-15 09:00:00
60,87,2022-09-16,5125.02,256.25,25.0,5406.27,unpaid,2022-10-16,,2024-01-15 09:00:00,2024-01-15 09:00:00
61,89,2022-07-26,7734.31,386.72,0.0,8121.03,refunded,2022-08-25,,2024-01-15 09:00:00,2024-01-15 09:00:00
62,90,2023-02-08,1998.5,99.92,0,2098.42,partial,2023-03-10,,2024-01-15 09:00:00,2024-01-15 09:00:00
63,92,2022-06-08,1054.74,52.74,0,1107.48,refunded,2022-07-08,,2024-01-15 09:00:00,2024-01-15 09:00:00
64,93,2023-01-05,5286.35,264.32,0,5550.67,refunded,2023-02-04,,2024-01-15 09:00:00,2024-01-15 09:00:00
65,94,2023-08-01,7742.88,387.14,0.0,8130.02,unpaid,2023-08-31,,2024-01-15 09:00:00,2024-01-15 09:00:00
66,95,2023-06-17,4814.27,240.71,0,5054.98,paid,2023-07-17,,2024-01-15 09:00:00,2024-01-15 09:00:00
67,96,2022-01-27,3619.82,180.99,0,3800.81,refunded,2022-02-26,,2024-01-15 09:00:00,2024-01-15 09:00:00
68,97,2022-08-01,4071.22,203.56,0,4274.78,refunded,2022-08-31,,2024-01-15 09:00:00,2024-01-15 09:00:00
69,100,2023-09-22,3721.65,186.08,0,3907.73,paid,2023-10-22,,2024-01-15 09:00:00,2024-01-15 09:00:00
70,101,2023-08-16,3243.45,162.17,25.0,3430.62,paid,2023-09-15,,2024-01-15 09:00:00,2024-01-15 09:00:00
71,102,2023-10-18,3444.08,172.2,0,3616.28,paid,2023-11-17,,2024-01-15 09:00:00,2024-01-15 09:00:00
72,103,2022-03-29,1383.96,69.2,25.0,1478.16,paid,2022-04-28,,2024-01-15 09:00:00,2024-01-15 09:00:00
73,105,2022-07-12,902.08,45.1,0,947.18,refunded,2022-08-11,,2024-01-15 09:00:00,2024-01-15 09:00:00
74,106,2023-07-31,5635.23,281.76,0,5916.99,paid,2023-08-30,,2024-01-15 09:00:00,2024-01-15 09:00:00
75,107,2022-08-15,2186.33,109.32,0,2295.65,partial,2022-09-14,,2024-01-15 09:00:00,2024-01-15 09:00:00
76,109,2023-03-13,7061.07,353.05,0,7414.12,refunded,2023-04-12,,2024-01-15 09:00:00,2024-01-15 09:00:00
77,110,2022-05-02,6580.27,329.01,0,6909.28,paid,2022-06-01,,2024-01-15 09:00:00,2024-01-15 09:00:00
78,111,2022-05-24,6540.8,327.04,0,6867.84,partial,2022-06-23,,2024-01-15 09:00:00,2024-01-15 09:00:00
79,113,2023-11-04,1596.83,79.84,25.0,1701.67,partial,2023-12-04,,2024-01-15 09:00:00,2024-01-15 09:00:00
80,116,2023-02-13,4210.36,210.52,0.0,4420.88,paid,2023-03-15,,2024-01-15 09:00:00,2024-01-15 09:00:00
81,117,2022-02-20,6379.17,318.96,50.0,6748.13,unpaid,2022-03-22,,2024-01-15 09:00:00,2024-01-15 09:00:00
82,119,2023-11-13,3472.56,173.63,0,3646.19,paid,2023-12-13,,2024-01-15 09:00:00,2024-01-15 09:00:00
83,121,2023-12-13,2217.1,110.86,25.0,2352.96,partial,2024-01-12,,2024-01-15 09:00:00,2024-01-15 09:00:00
84,122,2023-01-28,7947.05,397.35,0.0,8344.4,paid,2023-02-27,,2024-01-15 09:00:00,2024-01-15 09:00:00
85,123,2022-12-27,6112.02,305.6,0.0,6417.62,paid,2023-01-26,,2024-01-15 09:00:00,2024-01-15 09:00:00
86,124,2022-05-08,7724.37,386.22,0,8110.59,paid,2022-06-07,,2024-01-15 09:00:00,2024-01-15 09:00:00
87,126,2023-10-25,3394.14,169.71,50.0,3613.85,unpaid,2023-11-24,,2024-01-15 09:00:00,2024-01-15 09:00:00
88,128,2022-09-27,7615.1,380.75,0,7995.85,paid,2022-10-27,,2024-01-15 09:00:00,2024-01-15 09:00:00
89,129,2023-02-17,5120.35,256.02,0,5376.37,paid,2023-03-19,,2024-01-15 09:00:00,2024-01-15 09:00:00
90,131,2022-03-31,5092.23,254.61,0,5346.84,refunded,2022-04-30,,2024-01-15 09:00:00,2024-01-15 09:00:00
91,133,2022-05-02,6553.31,327.67,0.0,6880.98,paid,2022-06-01,,2024-01-15 09:00:00,2024-01-15 09:00:00
92,134,2023-06-09,6945.2,347.26,0,7292.46,partial,2023-07-09,,2024-01-15 09:00:00,2024-01-15 09:00:00
93,135,2023-06-07,2334.14,116.71,0,2450.85,paid,2023-07-07,,2024-01-15 09:00:00,2024-01-15 09:00:00
94,136,2023-07-22,2913.52,145.68,25.0,3084.2,partial,2023-08-21,,2024-01-15 09:00:00,2024-01-15 09:00:00
95,137,2023-11-22,6532.54,326.63,0,6859.17,partial,2023-12-22,,2024-01-15 09:00:00,2024-01-15 09:00:00
96,138,2023-07-22,2005.03,100.25,0,2105.28,unpaid,2023-08-21,,2024-01-15 09:00:00,2024-01-15 09:00:00
97,139,2023-07-15,547.83,27.39,0.0,575.22,paid,2023-08-14,,2024-01-15 09:00:00,2024-01-15 09:00:00
98,140,2022-12-11,5954.11,297.71,0.0,6251.82,paid,2023-01-10,,2024-01-15 09:00:00,2024-01-15 09:00:00
99,142,2023-08-19,5279.12,263.96,25.0,5568.08,partial,2023-09-18,,2024-01-15 09:00:00,2024-01-15 09:00:00
100,143,2022-09-01,7445.31,372.27,25.0,7842.58,unpaid,2022-10-01,,2024-01-15 09:00:00,2024-01-15 09:00:00
101,144,2022-07-28,1665.58,83.28,0,1748.86,paid,2022-08-27,,2024-01-15 09:00:00,2024-01-15 09:00:00
102,145,2023-04-09,6893.62,344.68,0.0,7238.3,paid,2023-05-09,,2024-01-15 09:00:00,2024-01-15 09:00:00
103,146,2022-12-03,2361.64,118.08,0,2479.72,paid,2023-01-02,,2024-01-15 09:00:00,2024-01-15 09:00:00
104,147,2022-02-02,6110.59,305.53,0.0,6416.12,paid,2022-03-04,,2024-01-15 09:00:00,2024-01-15 09:00:00
105,148,2022-03-06,1986.0,99.3,0,2085.3,partial,2022-04-05,,2024-01-15 09:00:00,2024-01-15 09:00:00
106,151,2022-10-15,5105.8,255.29,0,5361.09,partial,2022-11-14,,2024-01-15 09:00:00,2024-01-15 09:00:00
107,153,2023-01-04,3080.26,154.01,25.0,3259.27,refunded,2023-02-03,,2024-01-15 09:00:00,2024-01-15 09:00:00
108,154,2023-09-05,939.43,46.97,0,986.4,partial,2023-10-05,,2024-01-15 09:00:00,2024-01-15 09:00:00
109,158,2022-02-28,4448.36,222.42,0,4670.78,paid,2022-03-30,,2024-01-15 09:00:00,2024-01-15 09:00:00
110,159,2022-03-03,5785.22,289.26,25.0,6099.48,partial,2022-04-02,,2024-01-15 09:00:00,2024-01-15 09:00:00
111,160,2023-11-11,3024.21,151.21,0,3175.42,paid,2023-12-11,,2024-01-15 09:00:00,2024-01-15 09:00:00
112,163,2023-05-25,1083.55,54.18,0.0,1137.73,unpaid,2023-06-24,,2024-01-15 09:00:00,2024-01-15 09:00:00
113,164,2023-10-18,585.47,29.27,25.0,639.74,unpaid,2023-11-17,,2024-01-15 09:00:00,2024-01-15 09:00:00
114,165,2022-01-03,5994.38,299.72,0,6294.1,partial,2022-02-02,,2024-01-15 09:00:00,2024-01-15 09:00:00
115,166,2023-05-07,6186.83,309.34,0,6496.17,unpaid,2023-06-06,,2024-01-15 09:00:00,2024-01-15 09:00:00
116,167,2022-11-24,3063.56,153.18,0,3216.74,unpaid,2022-12-24,,2024-01-15 09:00:00,2024-01-15 09:00:00
117,168,2023-09-22,7568.32,378.42,0,7946.74,unpaid,2023-10-22,,2024-01-15 09:00:00,2024-01-15 09:00:00
118,169,2022-07-15,7441.8,372.09,0,7813.89,paid,2022-08-14,,2024-01-15 09:00:00,2024-01-15 09:00:00
119,170,2023-08-10,908.79,45.44,0,954.23,paid,2023-09-09,,2024-01-15 09:00:00,2024-01-15 09:00:00
120,171,2022-01-28,2688.59,134.43,0,2823.02,paid,2022-02-27,,2024-01-15 09:00:00,2024-01-15 09:00:00
121,172,2023-11-09,4580.95,229.05,0,4810.0,paid,2023-12-09,,2024-01-15 09:00:00,2024-01-15 09:00:00
122,173,2023-03-28,6778.09,338.9,0,7116.99,paid,2023-04-27,,2024-01-15 09:00:00,2024-01-15 09:00:00
123,176,2023-04-06,6563.46,328.17,0,6891.63,paid,2023-05-06,,2024-01-15 09:00:00,2024-01-15 09:00:00
124,178,2023-04-16,6362.64,318.13,25.0,6705.77,refunded,2023-05-16,,2024-01-15 09:00:00,2024-01-15 09:00:00
125,179,2022-04-15,7101.02,355.05,25.0,7481.07,refunded,2022-05-15,,2024-01-15 09:00:00,2024-01-15 09:00:00
126,182,2022-05-19,2520.65,126.03,25.0,2671.68,paid,2022-06-18,,2024-01-15 09:00:00,2024-01-15 09:00:00
127,183,2023-01-19,6436.18,321.81,50.0,6807.99,unpaid,2023-02-18,,2024-01-15 09:00:00,2024-01-15 09:00:00
128,184,2022-01-31,6777.33,338.87,25.0,7141.2,refunded,2022-03-02,,2024-01-15 09:00:00,2024-01-15 09:00:00
129,189,2023-10-22,6886.9,344.35,0.0,7231.25,paid,2023-11-21,,2024-01-15 09:00:00,2024-01-15 09:00:00
130,193,2022-01-28,2445.7,122.28,0,2567.98,unpaid,2022-02-27,,2024-01-15 09:00:00,2024-01-15 09:00:00
131,195,2023-11-06,1232.02,61.6,0,1293.62,unpaid,2023-12-06,,2024-01-15 09:00:00,2024-01-15 09:00:00
132,197,2023-04-21,6997.95,349.9,0,7347.85,paid,2023-05-21,,2024-01-15 09:00:00,2024-01-15 09:00:00
133,200,2022-08-04,6233.63,311.68,0,6545.31,unpaid,2022-09-03,,2024-01-15 09:00:00,2024-01-15 09:00:00
