paymentID,invoiceID,cardID,billedAmount,amountPaid,paymentMethod,paymentDate,paymentType,status,reference,notes,createdAt,updatedAt
22,27,29,8120.58,8120.58,CASH,2023-04-30,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
23,28,53,5046.3,1513.89,CASH,2023-10-25,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
24,29,38,4439.56,4439.56,CARD,2022-10-20,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
25,30,65,2550.96,765.29,CARD,2022-06-17,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
26,32,35,5783.82,1735.15,CARD,2023-01-05,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
27,33,40,8064.21,8064.21,CASH,2022-10-31,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
28,35,74,5117.29,5117.29,TRANSFER,2022-05-01,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
29,36,3,1027.11,1027.11,TRANSFER,2022-02-17,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
30,37,9,8343.74,8343.74,CARD,2022-05-20,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
31,38,58,1930.48,1930.48,CARD,2022-05-18,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
32,39,30,6557.67,6557.67,TRANSFER,2022-04-27,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
33,40,31,6356.76,6356.76,CARD,2023-09-06,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
34,41,74,3781.79,3781.79,CARD,2022-05-28,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
35,42,49,2422.62,2422.62,CARD,2023-01-22,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
36,43,39,2558.09,2558.09,CARD,2023-06-28,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
37,45,16,3522.71,1056.81,CARD,2022-09-04,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
38,46,41,2578.6,2578.6,CASH,2022-08-16,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
39,47,44,4829.06,4829.06,CARD,2022-12-28,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
40,48,30,5547.11,5547.11,CASH,2023-04-13,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
41,49,62,2688.59,2688.59,TRANSFER,2022-01-14,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
42,50,3,2036.46,2036.46,TRANSFER,2022-04-10,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
43,51,33,8323.09,8323.09,CARD,2023-02-21,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
44,52,39,966.9,966.9,CARD,2023-01-25,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
45,53,41,7097.87,7097.87,TRANSFER,2022-06-17,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
46,55,10,4413.51,4413.51,TRANSFER,2022-02-01,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
47,56,71,6140.73,6140.73,CASH,2023-01-26,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
48,58,47,3738.35,3738.35,TRANSFER,2023-04-06,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
49,59,11,4408.35,4408.35,CARD,2022-05-24,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
50,61,,8121.03,8121.03,TRANSFER,2022-07-26,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
51,62,38,2098.42,629.53,TRANSFER,2023-02-08,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
52,63,53,1107.48,1107.48,CARD,2022-06-08,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
53,64,62,5550.67,5550.67,CARD,2023-01-05,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
54,66,14,5054.98,5054.98,TRANSFER,2023-06-17,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
55,67,48,3800.81,3800.81,CARD,2022-01-27,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
56,68,15,4274.78,4274.78,CARD,2022-08-01,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
57,69,24,3907.73,3907.73,TRANSFER,2023-09-22,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
58,70,,3430.62,3430.62,TRANSFER,2023-08-16,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
59,71,59,3616.28,3616.28,CARD,2023-10-18,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
60,72,45,1478.16,1478.16,CASH,2022-03-29,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
61,73,69,947.18,947.18,CASH,2022-07-12,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
62,74,2,5916.99,5916.99,CARD,2023-07-31,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
63,75,,2295.65,688.7,CARD,2022-08-15,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
64,76,47,7414.12,7414.12,CASH,2023-03-13,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
65,77,58,6909.28,6909.28,CASH,2022-05-02,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
66,78,,6867.84,2060.35,CARD,2022-05-24,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
67,79,66,1701.67,510.5,CASH,2023-11-04,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
68,80,,4420.88,4420.88,CASH,2023-02-13,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
69,82,36,3646.19,3646.19,CARD,2023-11-13,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
70,83,57,2352.96,705.89,TRANSFER,2023-12-13,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
71,84,,8344.4,8344.4,CARD,2023-01-28,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
72,85,9,6417.62,6417.62,CARD,2022-12-27,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
73,86,79,8110.59,8110.59,CARD,2022-05-08,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
74,88,23,7995.85,7995.85,CARD,2022-09-27,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
75,89,65,5376.37,5376.37,TRANSFER,2023-02-17,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
76,90,,5346.84,5346.84,CARD,2022-03-31,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
77,91,,6880.98,6880.98,CASH,2022-05-02,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
78,92,68,7292.46,2187.74,CASH,2023-06-09,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
79,93,48,2450.85,2450.85,CASH,2023-06-07,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
80,94,47,3084.2,925.26,TRANSFER,2023-07-22,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
81,95,,6859.17,2057.75,CARD,2023-11-22,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
82,97,39,575.22,575.22,TRANSFER,2023-07-15,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
83,98,4,6251.82,6251.82,CARD,2022-12-11,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
84,99,67,5568.08,1670.42,CARD,2023-08-19,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
85,101,,1748.86,1748.86,CARD,2022-07-28,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
86,102,58,7238.3,7238.3,CARD,2023-04-09,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
87,103,21,2479.72,2479.72,CARD,2022-12-03,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
88,104,51,6416.12,6416.12,CARD,2022-02-02,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
89,105,13,2085.3,625.59,CARD,2022-03-06,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
90,106,55,5361.09,1608.33,CASH,2022-10-15,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
91,107,68,3259.27,3259.27,CASH,2023-01-04,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
92,108,65,986.4,295.92,CARD,2023-09-05,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
93,109,64,4670.78,4670.78,CARD,2022-02-28,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
94,110,43,6099.48,1829.84,CARD,2022-03-03,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
95,111,,3175.42,3175.42,CARD,2023-11-11,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
96,114,32,6294.1,1888.23,TRANSFER,2022-01-03,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
97,118,78,7813.89,7813.89,CARD,2022-07-15,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
98,119,34,954.23,954.23,TRANSFER,2023-08-10,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
99,120,55,2823.02,2823.02,CARD,2022-01-28,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
100,121,61,4810.0,4810.0,CARD,2023-11-09,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
101,122,48,7116.99,7116.99,CASH,2023-03-28,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
102,123,,6891.63,6891.63,CARD,2023-04-06,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
103,124,9,6705.77,6705.77,CARD,2023-04-16,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
104,125,54,7481.07,7481.07,CARD,2022-04-15,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
105,126,39,2671.68,2671.68,TRANSFER,2022-05-19,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
106,128,40,7141.2,7141.2,CARD,2022-01-31,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
107,129,2,7231.25,7231.25,TRANSFER,2023-10-22,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
108,132,40,7347.85,7347.85,CARD,2023-04-21,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
