commissionID,bookingID,employeeID,invoiceID,commissionRate,commissionAmount,description,status,approvedBy,approvedAt,createdAt,updatedAt
41,60,3,41,13.0,468.22,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
42,62,9,42,5.0,115.36,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
43,63,5,43,8.0,193.0,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
44,64,8,44,12.0,666.3,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
45,66,8,45,12.5,419.37,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
46,68,8,46,15.0,368.37,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
47,70,5,47,11.0,505.9,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
48,72,5,48,12.0,633.96,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
49,73,9,49,12.5,320.07,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
50,74,5,50,5.0,96.97,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
51,75,8,51,10.5,832.31,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
52,76,5,52,12.0,110.5,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
53,79,8,53,10.0,675.99,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
54,80,9,54,5.0,61.63,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
55,81,9,55,13.0,543.34,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
56,82,8,56,9.0,526.35,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
57,83,5,57,8.0,605.78,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
58,84,3,58,11.0,391.64,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
59,86,5,59,5.0,209.92,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
60,87,8,60,9.0,461.25,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
61,89,8,61,10.0,773.43,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
62,90,5,62,12.5,249.81,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
63,92,9,63,12.5,131.84,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
64,93,9,64,10.0,528.63,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
65,94,8,65,15.0,1161.43,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
66,95,8,66,10.0,481.43,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
67,96,3,67,9.0,325.78,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
68,97,3,68,8.0,325.7,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
69,100,4,69,8.0,297.73,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
70,101,9,70,15.0,486.52,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
71,102,4,71,12.0,413.29,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
72,103,3,72,10.5,145.32,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
73,105,5,73,8.0,72.17,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
74,106,9,74,12.5,704.4,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
75,107,9,75,11.0,240.5,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
76,109,3,76,5.0,353.05,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
77,110,5,77,11.0,723.83,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
78,111,3,78,10.5,686.78,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
79,113,3,79,12.0,191.62,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
80,116,9,80,12.0,505.24,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
81,117,8,81,13.0,829.29,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
82,119,9,82,12.0,416.71,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
83,121,9,83,10.0,221.71,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
84,122,9,84,12.0,953.65,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
85,123,3,85,5.0,305.6,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
86,124,4,86,11.0,849.68,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
87,126,5,87,11.0,373.36,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
88,128,4,88,12.5,951.89,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
89,129,5,89,11.0,563.24,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
90,131,8,90,12.0,611.07,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
91,133,4,91,11.0,720.86,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
92,134,8,92,12.0,833.42,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
93,135,3,93,8.0,186.73,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
94,136,3,94,9.0,262.22,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
95,137,4,95,13.0,849.23,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
96,138,8,96,12.0,240.6,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
97,139,5,97,10.0,54.78,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
98,140,9,98,15.0,893.12,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
99,142,3,99,9.0,475.12,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
100,143,9,100,10.0,744.53,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
101,144,8,101,13.0,216.53,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
102,145,5,102,11.0,758.3,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
103,146,4,103,11.0,259.78,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
104,147,5,104,5.0,305.53,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
105,148,4,105,11.0,218.46,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
106,151,5,106,8.0,408.46,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
107,153,8,107,15.0,462.04,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
108,154,5,108,13.0,122.13,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
109,158,5,109,5.0,222.42,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
110,159,4,110,10.0,578.52,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
111,160,5,111,12.0,362.91,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
112,163,8,112,10.0,108.36,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
113,164,8,113,8.0,46.84,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
114,165,9,114,12.0,719.33,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
115,166,9,115,12.5,773.35,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
116,167,4,116,11.0,336.99,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
117,168,4,117,12.0,908.2,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
118,169,5,118,9.0,669.76,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
119,170,4,119,11.0,99.97,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
120,171,5,120,12.0,322.63,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
121,172,4,121,12.0,549.71,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
122,173,3,122,9.0,610.03,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
123,176,3,123,10.0,656.35,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
124,178,3,124,12.0,763.52,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
125,179,4,125,8.0,568.08,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
126,182,5,126,11.0,277.27,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
127,183,5,127,12.0,772.34,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
128,184,3,128,5.0,338.87,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
129,189,9,129,15.0,1033.04,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
130,193,8,130,9.0,220.11,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
131,195,4,131,10.5,129.36,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
132,197,3,132,9.0,629.82,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
133,200,4,133,13.0,810.37,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
